f_star,u_ratio
0.100000,9.916829e-01
0.225800,1.021971e+00
0.351600,1.007522e+00
0.477400,9.101934e-01
0.603200,9.137935e-01
0.729000,8.646609e-01
0.854800,7.772278e-01
0.980600,5.847142e-01
1.106500,6.067261e-01
1.232300,5.237294e-01
1.358100,4.208706e-01
1.483900,4.303404e-01
1.609700,4.711166e-01
1.735500,6.213931e-01
1.861300,8.189085e-01
1.987100,8.716087e-01
2.112900,8.830807e-01
2.238700,9.272478e-01
2.364500,9.607011e-01
2.490300,9.985037e-01
2.616100,8.963308e-01
2.741900,7.123493e-01
2.867700,6.378864e-01
2.993500,6.679694e-01
3.119400,6.473189e-01
3.245200,5.596339e-01
3.371000,4.972471e-01
3.496800,3.524917e-01
3.622600,2.834593e-01
3.748400,2.887977e-01
3.874200,2.068819e-01
4.000000,1.504899e-01
